	adresa_mestskeho_uradu	adresa_obecniho_uradu	adresa_uradu_mestyse	casti_obce	historicka_zeme	jmeno	katastralni_uzemi	katastralni_vymera	kraj_(nuts_3)	lau_(obec)	nadmorska_vyska	obec_s_rozsirenou_pusobnosti	obec_s_rozsirenou_pusobnosti_a_poverena_obec	okres_(lau_1)	psc	pocet_obyvatel	poverena_obec	starosta	status	zakl_sidelni_jednotky	zemepisne_souradnice
0		Dobřív 30533844 Dobřív		2	Čechy	Dobřív	3	27,12 km²	Plzeňský (CZ032)	CZ0326 559776	417 m n. m.		Rokycany	Rokycany (CZ0326)	338 44	1 264 (2018)[1] (e)		Jiří Ondřejíček	obec	2	49°42′57″ s. š., 13°41′13″ v. d.
1		Bezděkov 8338 24 Břasy 1		1	Čechy	Bezděkov (okres Rokycany)	1	1,2 km²	Plzeňský (CZ032)	CZ0326 541095	468 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	137 (2018)[1] (e)	Radnice	Josef Král	obec	1	49°49′28″ s. š., 13°35′48″ v. d.
2		Břasy 350338 24 Břasy 1		5	Čechy	Břasy	4	21,5 km²	Plzeňský (CZ032)	CZ0326 559725	458 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	2 290 (2018)[1] (e)	Radnice	Ing. Mgr. Miroslav Kroc	obec	7	49°50′14″ s. š., 13°34′42″ v. d.
3		Březina 8833824 Břasy 1		1	Čechy	Březina (okres Rokycany)	1	7,62 km²	Plzeňský (CZ032)	CZ0326 559733	483 m n. m.		Rokycany	Rokycany (CZ0326)	338 24	357 (2018)[1] (e)		Radek Aubrecht	obec	1	49°48′27″ s. š., 13°35′49″ v. d.
4		Bujesily 133141 Kralovice		1	Čechy	Bujesily	1	6,2 km²	Plzeňský (CZ032)	CZ0326 559741	345 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	60 (2018)[1] (e)	Radnice	Ing. Pavel Trepeš	obec	1	49°54′53″ s. š., 13°34′28″ v. d.
5		Sedlecko 48Bušovice338 24 Břasy 1		3	Čechy	Bušovice	3	11,2 km²	Plzeňský (CZ032)	CZ0326 559750	380 m n. m.		Rokycany	Rokycany (CZ0326)	338 23	596 (2018)[1] (e)		Mgr. Luboš Pták	obec	3	49°47′44″ s. š., 13°32′5″ v. d.
6		Cekov 2333808 Zbiroh		1	Čechy	Cekov	1	4,29 km²	Plzeňský (CZ032)	CZ0326 559768	463 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	130 (2018)[1] (e)	Zbiroh	Josef Holub	obec	1	49°49′19″ s. š., 13°45′50″ v. d.
7		Čilá 633808 Zbiroh		1	Čechy	Čilá	1	1,9 km²	Plzeňský (CZ032)	CZ0326 540927	332 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	16 (2018)[1] (e)	Zbiroh	František Hájek	obec	1	49°57′42″ s. š., 13°44′32″ v. d.
8		Drahoňův Újezd 20338 08 Zbiroh		1	Čechy	Drahoňův Újezd	1	13,99 km²	Plzeňský (CZ032)	CZ0326 530379	410 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	132 (2018)[1] (e)	Zbiroh	Hana Brabcová	obec	1	49°52′38″ s. š., 13°43′33″ v. d.
9		Ejpovice 24337 01 Rokycany 1		1	Čechy	Ejpovice	1	7,69 km²	Plzeňský (CZ032)	CZ0326 559792	347 m n. m.		Rokycany	Rokycany (CZ0326)	337 01	676 (2018)[1] (e)		Jaromír Kalčík	obec	1	49°44′46″ s. š., 13°30′52″ v. d.
10		Hlohovice 80338 08 Zbiroh		4	Čechy	Hlohovice	4	18,11 km²	Plzeňský (CZ032)	CZ0326 559806	432 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	320 (2018)[1] (e)	Radnice	Marie Pflégrová	obec	4	49°53′22″ s. š., 13°38′36″ v. d.
11		Holoubkov 4833801 Holoubkov		1	Čechy	Holoubkov	1	4,21 km²	Plzeňský (CZ032)	CZ0326 559814	432 m n. m.		Rokycany	Rokycany (CZ0326)	338 01	1 435 (2018)[1] (e)		Ing. Lukáš Fišer	obec	1	49°46′34″ s. š., 13°41′33″ v. d.
12	Náměstí 8. května 270Nová Huť33842 Hrádek u Rokycan			2	Čechy	Hrádek (okres Rokycany)	2	6,05 km²	Plzeňský (CZ032)	CZ0326 559822	440 m n. m.		Rokycany	Rokycany (CZ0326)	338 42	2 850 (2018)[1] (e)		Jaroslav Perlík	město	2	49°42′36″ s. š., 13°39′15″ v. d.
13		Hradiště 3433808 Zbiroh		1	Čechy	Hradiště (okres Rokycany)	1	2,83 km²	Plzeňský (CZ032)	CZ0326 541001	317 m n. m.	Rokycany		Rokycany (CZ0326)	338 08 až 338 13	30 (2018)[1] (e)	Zbiroh	Pavel Šubrt	obec	1	49°57′47″ s. š., 13°43′4″ v. d.
14		Hůrky 5033701 Rokycany 1		1	Čechy	Hůrky	1	12,07 km²	Plzeňský (CZ032)	CZ0326 559849	469 m n. m.		Rokycany	Rokycany (CZ0326)	338 01	234 (2018)[1] (e)		Martin Polák	obec	1	49°44′45″ s. š., 13°40′59″ v. d.
15		Cheznovice 1633806 Cheznovice		1	Čechy	Cheznovice	1	7,8 km²	Plzeňský (CZ032)	CZ0326 559857	472 m n. m.		Rokycany	Rokycany (CZ0326)	338 06	731 (2018)[1] (e)		Josef Kolář	obec	1	49°46′44″ s. š., 13°47′8″ v. d.
16		Chlum 5533808 Zbiroh		1	Čechy	Chlum (okres Rokycany)	1	8,52 km²	Plzeňský (CZ032)	CZ0326 540803	441 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	45 (2018)[1] (e)	Radnice	Jiří Rys	obec	1	49°56′9″ s. š., 13°39′35″ v. d.
